Vehicle Type,Feature,Mutual_Information_Score
bus,transmission,2.5421873265623267
bus,Model,2.1671873265623267
bus,cylinders,1.9417913683538686
bus,manufacturer,1.862323960761461
bus,fuel,1.847667783605284
bus,state,1.6057289932289935
bus,drive,1.3496371683871686
bus,odometer,1.162624701687202
bus,age,1.1330844502719506
bus,size,0.4682942057942059
